Feature,Importance
cat__Driver_Bayley Currey,4.077450431723854e-05
cat__Team_Akins Motorsports,4.073570096831734e-05
cat__Driver_G.C. Spencer,4.0612550144847324e-05
cat__Team_Turner Motorsports,4.056862456846341e-05
cat__Driver_Brennan Poole,4.0372012872566144e-05
cat__Driver_Danica Patrick,4.0013637336410316e-05
cat__Track_Road America,4.000759671462967e-05
cat__Track_Mesa Marin Raceway,3.9965754475838726e-05
cat__Driver_Elton Sawyer,3.987860536055408e-05
cat__Track_Texas World Speedway,3.982400878221443e-05
cat__Driver_Tiny Lund,3.9670906654405576e-05
cat__Make_Chrysler,3.9570166616271746e-05
cat__Team_Bahari' Racing,3.951556925172848e-05
cat__Driver_Mark Green,3.942357160542499e-05
cat__Driver_Anthony Alfredo,3.927930603969658e-05
cat__Team_Larry Hedrick Motorsports,3.9215774749560096e-05
cat__Driver_Lloyd Dane,3.913327800640871e-05
cat__Track_Columbia Speedway,3.913273619376072e-05
cat__Driver_Jody Ridley,3.904599877436442e-05
cat__Team_Henderson Motorsports,3.885662998254216e-05
cat__Team_Leavine Family Racing,3.885027330862093e-05
cat__Team_Team Red Bull,3.874192581320197e-05
cat__Team_Circle Bar Racing,3.865282150210397e-05
cat__Driver_Ed Berrier,3.849484731895047e-05
cat__Driver_Matt Crafton,3.835160209194535e-05
cat__Driver_Davey Allison,3.815260352336682e-05
cat__Driver_Wally Dallenbach Jr.,3.8101747953235405e-05
cat__Driver_Kaz Grala,3.807198495428855e-05
cat__Driver_Brett Moffitt,3.800837295833127e-05
cat__Driver_Boris Said,3.7948865193640794e-05
cat__Driver_Hut Stricklin,3.79458577689536e-05
cat__Track_Greensboro Agriculture Fairgrounds,3.789693826346488e-05
cat__Team_AM Racing,3.785963315924206e-05
cat__Team_Buck Baker Racing,3.7832922111671985e-05
cat__Driver_Terry Cook,3.743348733631637e-05
cat__Track_Canfield Fairgrounds,3.732520574279047e-05
cat__Team_Geoff Bodine Racing,3.727202926060776e-05
cat__Team_McAnally-Hilgemann Racing,3.704831387274973e-05
cat__Team_Ultra Motorsports,3.693584091592443e-05
cat__Team_Bobby Allison Motorsports,3.6655354742244206e-05
cat__Driver_Layne Riggs,3.656841464359437e-05
cat__Driver_Speedy Thompson,3.6352044555524757e-05
cat__Team_Charlie Schwam (Owner),3.594071468890654e-05
cat__Team_Rick Ware Racing,3.56497540823205e-05
cat__Team_CR7 Motorsports,3.563178288396524e-05
cat__Driver_Sam Hornish Jr.,3.563049035576852e-05
cat__Team_Akins-Sutton Motorsports,3.55752429698758e-05
cat__Team_MBV Motorsports,3.552443905273439e-05
cat__Team_Bob Griffin (Owner),3.53770625307786e-05
cat__Driver_Kenny Irwin Jr.,3.52907293339095e-05
cat__Driver_Mike Dillon,3.5223738420328225e-05
cat__Track_Williams Grove Speedway,3.512364190072873e-05
cat__Driver_Kaden Honeycutt,3.4948531950970365e-05
cat__Team_BJ McLeod Motorsports,3.4755192107981834e-05
cat__Track_California State Fairgrounds,3.442187309971198e-05
cat__Team_MSRP Motorsports,3.436746898648731e-05
cat__Team_Morgan-Dollar Motorsports,3.430808336992228e-05
cat__Driver_Joe Ruttman,3.430754130623308e-05
cat__Driver_Neil Bonnett,3.428084430442775e-05
cat__Team_Curb Racing,3.4233496106999464e-05
cat__Driver_Buck Baker,3.382092754940092e-05
cat__Team_Julian Buesink (Owner),3.377469638895985e-05
cat__Team_Hensley Racing,3.3669383163640104e-05
cat__Driver_Christian Eckes,3.353587434646421e-05
cat__Team_Turner Scott Motorsports,3.328777207838075e-05
cat__Driver_Pete Hamilton,3.326254114453675e-05
cat__Team_LJ Racing,3.3182556355175913e-05
cat__Team_Progressive Motorsports,3.3014567995628056e-05
cat__Team_Rackley W.A.R.,3.299928822401499e-05
